Micronutrients_70Days,Potassh_50Days,Nursery area (Cents),Seedrate(in Kg),Hectares ,Urea_40Days,Weed28D_thiobencarb,DAP_20days,Pest_60Day(in ml),LP_Mainfield(in Tonnes),Trash(in bundles),Soil Types_clay,Nursery_wet,Variety_ponmani,Variety_delux ponni,Paddy yield(in Kg)
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,0.0,0.0,0.0,0.0,35028
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,1.0,1.0,1.0,0.0,35412
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,0.0,0.0,0.0,1.0,36300
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,1.0,1.0,0.0,0.0,35016
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,0.0,0.0,1.0,0.0,34044
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,0.0,1.0,0.0,1.0,36732
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,1.0,1.0,0.0,0.0,33162
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,0.0,0.0,0.0,1.0,36690
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,1.0,0.0,1.0,0.0,35310
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,0.0,0.0,0.0,0.0,32460
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,1.0,1.0,1.0,0.0,34152
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,0.0,1.0,0.0,1.0,36090
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,1.0,1.0,0.0,0.0,34596
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,1.0,1.0,1.0,0.0,34458
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,1.0,1.0,0.0,1.0,37926
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,1.0,1.0,0.0,0.0,32778
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,0.0,0.0,0.0,1.0,37278
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,1.0,0.0,1.0,0.0,33666
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,1.0,0.0,0.0,0.0,34386
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,0.0,0.0,1.0,0.0,35658
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,1.0,0.0,0.0,1.0,37362
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,1.0,0.0,0.0,0.0,34716
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,0.0,0.0,1.0,0.0,35646
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,1.0,0.0,0.0,1.0,38496
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,1.0,0.0,0.0,0.0,35496
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,1.0,0.0,0.0,1.0,37362
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,0.0,0.0,1.0,0.0,33462
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,1.0,0.0,1.0,0.0,33804
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,1.0,0.0,1.0,0.0,35538
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,0.0,0.0,1.0,0.0,34524
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,0.0,0.0,0.0,0.0,35130
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,0.0,0.0,1.0,0.0,34518
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,0.0,0.0,1.0,0.0,35040
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,0.0,0.0,1.0,0.0,33762
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,0.0,0.0,0.0,1.0,38172
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,0.0,0.0,0.0,1.0,37062
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,1.0,0.0,0.0,1.0,37716
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,1.0,0.0,1.0,0.0,36000
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,1.0,0.0,0.0,1.0,36906
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,1.0,0.0,0.0,0.0,35556
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,1.0,0.0,0.0,1.0,37134
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,1.0,0.0,0.0,1.0,38178
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,1.0,0.0,0.0,0.0,35298
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,1.0,1.0,1.0,0.0,34218
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,0.0,1.0,0.0,1.0,36552
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,0.0,1.0,0.0,0.0,35592
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,0.0,1.0,1.0,0.0,33162
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,0.0,1.0,0.0,1.0,37152
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,0.0,1.0,0.0,0.0,34338
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,0.0,1.0,0.0,1.0,38424
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,0.0,1.0,1.0,0.0,33768
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,0.0,1.0,0.0,0.0,34680
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,1.0,1.0,1.0,0.0,33864
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,1.0,1.0,0.0,1.0,38508
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,1.0,1.0,0.0,0.0,35238
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,1.0,0.0,1.0,0.0,35298
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,1.0,0.0,0.0,1.0,38136
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,1.0,0.0,0.0,0.0,35016
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,1.0,0.0,0.0,1.0,36954
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,0.0,0.0,1.0,0.0,32460
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,1.0,0.0,0.0,0.0,34338
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,0.0,0.0,1.0,0.0,34530
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,1.0,0.0,0.0,1.0,37254
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,0.0,1.0,0.0,0.0,32952
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,0.0,1.0,1.0,0.0,35178
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,1.0,1.0,0.0,1.0,36690
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,540.0,0.0,1.0,0.0,0.0,35238
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,480.0,1.0,1.0,0.0,1.0,38586
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,0.0,1.0,1.0,0.0,35784
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,1.0,1.0,1.0,0.0,33030
90.0,1.5878318795246062,120.0,150.0,6.0,1.587831879524605,12.0,240.0,3600.0,1.5878318795246058,600.0,0.0,0.0,1.0,0.0,33162
